Station,Location,State,Year,ADT,rank
KR 401,Alor Setar-Sungai Petani-Butterworth,Kedah,2016,21656,30.0
KR 501,Alor Setar-Sungai Petani,Kedah,2016,18221,35.0
MR 206,Jalan Melaka-Muar,Melaka,2016,15640,45.0
MR 301,Lebuh AMJ (Alor Gajah-Kendong),Melaka,2016,19662,33.0
MR 312,Jalan Melaka-Masjid Tanah-Lubok China,Melaka,2016,17439,38.0
NR 304,Seremban-Port Dickson (Lukut),Negeri Sembilan,2016,41295,14.0
NR 403,Seremban-Tampin,Negeri Sembilan,2016,12737,53.0
NR 501,Seremban-Kuala Lumpur (Old road),Negeri Sembilan,2016,10984,57.0
NR 505,Seremban-Gemas,Negeri Sembilan,2016,48966,9.0
PR 116,Butterworth-Ipoh,Pulau Pinang,2016,59320,7.0
PR 201,George Town-Telok Bahang,Pulau Pinang,2016,23255,26.0
PR 203,George Town-Bayan Lepas-Gelugor,Pulau Pinang,2016,56678,8.0
RR 106,Kangar-Alor Star,Perlis,2016,15279,47.0
TR 103,K. Terengganu-Jerteh-Kota Bharu,Terengganu,2016,22605,27.0
TR 202,Kuala Terengganu-Dungun-Kemaman (Kuala Dungun-Paka),Terengganu,2016,24852,22.0
TR 305,Cheneh-K. Terengganu  (Jln. Jabor-Jerangau),Terengganu,2016,3992,72.0
TR 402,K. Terengganu-Marang,Terengganu,2016,34408,17.0
TR 502,K. Terengganu-Ajil-Jerangau,Terengganu,2016,9047,61.0
WR 101,Kuala Lumpur-Kuala Selangor (Jalan Kepong),Kuala Lumpur,2016,122688,4.0
WR 102,Kuala Lumpur-Ipoh,Kuala Lumpur,2016,169218,1.0
HR 103,KK-Sepulut Highway,Sabah,2016,2782,78.0
HR 104,Tenom-Tomani/Bekuku H'way,Sabah,2016,6943,67.0
HR 201,Kota Kinabalu-Sindumin (Kg Mook),Sabah,2016,15999,42.0
HR 202,"A3, KK-Tambunan (8km from A/A31 Intersection)",Sabah,2016,3351,76.0
HR 204,KK-Kudat (Kg Mantanau),Sabah,2016,13887,51.0
HR 501,Tawau-Sandakan Highway (Near Balung Junction),Sabah,2016,11694,55.0
HR 504,Sg. Segama Crossing,Sabah,2016,7412,66.0
HR 506,Jalan Sing-Sing (18km from Bandar Semporna),Sabah,2016,3609,74.0
HR 507,Kunak-Lahad Datu,Sabah,2016,8169,63.0
SR 101,Bau-Semantan,Sarawak,2016,3429,75.0
SR 103,Kuching-Serian,Sarawak,2016,34950,16.0
SR 401,Bintulu-Sibu,Sarawak,2016,5563,70.0
SR 402,Bintulu-Miri,Sarawak,2016,7428,65.0
SR 403,Miri-Bintulu (before junction to Airport),Sarawak,2016,9092,60.0
SR 503,Limbang-Brunei Border (Sg.Padaruan),Sarawak,2016,13245,52.0
SR 504,Lawas-Trusan,Sarawak,2016,11701,54.0
AR 101,Ipoh-Tanjung Malim (Slim River Toll house),Perak,2017,14913,48.0
AR 204,Ipoh-Lumut,Perak,2017,27384,21.0
AR 301,Ipoh-Kampar,Perak,2017,29911,20.0
AR 303,Sitiawan-Gopeng,Perak,2017,87006,6.0
AR 501,Ipoh-Kuala Kangsar,Perak,2017,20443,33.0
AR 601,Ipoh-Butterworth,Perak,2017,19058,34.0
AR 603,Sitiawan-Taiping,Perak,2017,9227,61.0
AR 703,Ipoh-Teluk Intan-Simpang Empat,Perak,2017,26218,22.0
AR 801,Kuala Kangsar-Baling,Perak,2017,2798,77.0
AR 803,Lebuhraya Timur-Barat,Perak,2017,3923,75.0
BR 102,Klang-Port Klang (Persiaran Raja Muda Musa),Selangor,2017,47521,12.0
BR 108,Federal Highway-North Klang Straits Bypass,Selangor,2017,101893,5.0
BR 203,Klang-Morib-Batu Laut,Selangor,2017,5903,68.0
BR 405,Kuala Lumpur-Kepong-Kuala Selangor,Selangor,2017,21568,29.0
BR 501,Klang-Sabak Bernam,Selangor,2017,21642,28.0
BR 604,Kuala Lumpur-Kajang-Telok Datok (Bt 14 Jln Cheras),Selangor,2017,46607,13.0
BR 701,Kuala Lumpur-Kuala Kubu Bahru Junction,Selangor,2017,13476,50.0
BR 902,Jalan Lingkaran Tengah 2 (MRR2),Selangor,2017,153545,1.0
CR 106,Jalan Kuala Lumpur-Sempadan Kota Bharu,Pahang,2017,18843,35.0
CR 403,Kuantan-Maran,Pahang,2017,33247,18.0
CR 410,Kuantan-Kemaman (Sg. Ular),Pahang,2017,30052,19.0
CR 503,Kuala Lumpur-Kuala Lipis-Kampong Padang Tuanku-Kota Bahru,Pahang,2017,8302,63.0
CR 603,Pekan-Nenasi (In front of JKR Pekan),Pahang,2017,11606,54.0
CR 801,Kuantan-Karak,Pahang,2017,16731,40.0
CR 805,Kuantan-Maran,Pahang,2017,6915,65.0
CR 902,Kuantan-Segamat,Pahang,2017,10416,57.0
DR 201,Kota Bharu-Pasir Puteh,Kelantan,2017,65518,7.0
DR 603,Lebuh raya Timur-Barat,Kelantan,2017,6300,67.0
DR 802,Kota Bharu-Kuala Krai,Kelantan,2017,22160,26.0
JR 102,Batu Pahat-Muar,Johor,2017,23564,23.0
JR 105,Muar-Yong Peng (3.8km South of Yong Peng (U) Interchange),Johor,2017,15723,44.0
JR 108,Yong Peng-Segamat (North of Route 184 junction),Johor,2017,11199,56.0
JR 204,Jalan Skudai,Johor,2017,145079,2.0
JR 218,Jalan Pelabuhan Pasir Gudang,Johor,2017,42306,15.0
JR 305,Johor Bahru-Ayer Hitam,Johor,2017,20602,32.0
JR 306,Batu Pahat-Ayer Hitam-Jemaluang,Johor,2017,43771,14.0
JR 404,Johor Bahru-Kota Tinggi,Johor,2017,17601,39.0
JR 501,Johor Bahru-Endau (2.4km North of Mersing Town),Johor,2017,15599,46.0
JR 503,Johor Bahru-Endau (Southwest of Jemaluang),Johor,2017,4349,72.0
JR 702,Pontian-Batu Pahat (near Hospital Pontian),Johor,2017,13050,52.0
JR 801,Johor Bahru-Segamat-Batu Anam,Johor,2017,16518,41.0
KR 202,Alor Star-Jitra,Kedah,2017,39669,16.0
KR 401,Alor Setar-Sungai Petani-Butterworth,Kedah,2017,20749,31.0
KR 501,Alor Setar-Sungai Petani,Kedah,2017,17748,38.0
MR 206,Jalan Melaka-Muar,Melaka,2017,16329,42.0
MR 301,Lebuh AMJ (Alor Gajah-Kendong),Melaka,2017,17780,37.0
MR 312,Jalan Melaka-Masjid Tanah-Lubok China,Melaka,2017,18320,36.0
NR 304,Seremban-Port Dickson (Lukut),Negeri Sembilan,2017,48851,11.0
NR 403,Seremban-Tampin,Negeri Sembilan,2017,13415,51.0
NR 501,Seremban-Kuala Lumpur (Old road),Negeri Sembilan,2017,11314,55.0
NR 505,Seremban-Gemas,Negeri Sembilan,2017,49199,10.0
PR 116,Butterworth-Ipoh,Pulau Pinang,2017,52095,9.0
PR 201,George Town-Telok Bahang,Pulau Pinang,2017,22006,27.0
PR 203,George Town-Bayan Lepas-Gelugor,Pulau Pinang,2017,61819,8.0
RR 106,Kangar-Alor Star,Perlis,2017,14351,49.0
TR 103,K. Terengganu-Jerteh-Kota Bharu,Terengganu,2017,21136,30.0
TR 202,Kuala Terengganu-Dungun-Kemaman (Kuala Dungun-Paka),Terengganu,2017,23209,24.0
TR 305,Cheneh-K. Terengganu  (Jln. Jabor-Jerangau),Terengganu,2017,4268,74.0
TR 402,K. Terengganu-Marang,Terengganu,2017,35427,17.0
TR 502,K. Terengganu-Ajil-Jerangau,Terengganu,2017,10410,58.0
WR 101,Kuala Lumpur-Kuala Selangor (Jalan Kepong),Kuala Lumpur,2017,103024,4.0
WR 102,Kuala Lumpur-Ipoh,Kuala Lumpur,2017,138477,3.0
HR 103,KK-Sepulut Highway,Sabah,2017,3137,76.0
HR 104,Tenom-Tomani/Bekuku H'way,Sabah,2017,5618,70.0
HR 201,Kota Kinabalu-Sindumin (Kg Mook),Sabah,2017,15892,43.0
HR 202,"A3, KK-Tambunan (8km from A/A31 Intersection)",Sabah,2017,4307,73.0
HR 204,KK-Kudat (Kg Mantanau),Sabah,2017,15654,45.0
HR 501,Tawau-Sandakan Highway (Near Balung Junction),Sabah,2017,12649,53.0
HR 504,Sg. Segama Crossing,Sabah,2017,6832,66.0
HR 506,Jalan Sing-Sing (18km from Bandar Semporna),Sabah,2017,2689,78.0
HR 507,Kunak-Lahad Datu,Sabah,2017,8389,62.0
SR 101,Bau-Semantan,Sarawak,2017,5138,71.0
SR 103,Kuching-Serian,Sarawak,2017,22171,25.0
SR 401,Bintulu-Sibu,Sarawak,2017,5685,69.0
SR 402,Bintulu-Miri,Sarawak,2017,8000,64.0
SR 403,Miri-Bintulu (before junction to Airport),Sarawak,2017,9861,59.0
SR 503,Limbang-Brunei Border (Sg.Padaruan),Sarawak,2017,15221,47.0
SR 504,Lawas-Trusan,Sarawak,2017,9640,60.0
AR 101,Ipoh-Tanjung Malim (Slim River Toll house),Perak,2018,15068,47.0
AR 204,Ipoh-Lumut,Perak,2018,28011,21.0
AR 301,Ipoh-Kampar,Perak,2018,30321,20.0
AR 303,Sitiawan-Gopeng,Perak,2018,87711,6.0
AR 501,Ipoh-Kuala Kangsar,Perak,2018,20571,33.0
AR 601,Ipoh-Butterworth,Perak,2018,20270,34.0
AR 603,Sitiawan-Taiping,Perak,2018,9449,61.0
AR 703,Ipoh-Teluk Intan-Simpang Empat,Perak,2018,26687,22.0
AR 801,Kuala Kangsar-Baling,Perak,2018,2872,77.0
AR 803,Lebuhraya Timur-Barat,Perak,2018,4028,75.0
BR 102,Klang-Port Klang (Persiaran Raja Muda Musa),Selangor,2018,47425,12.0
BR 108,Federal Highway-North Klang Straits Bypass,Selangor,2018,100568,4.0
BR 203,Klang-Morib-Batu Laut,Selangor,2018,5930,68.0
BR 405,Kuala Lumpur-Kepong-Kuala Selangor,Selangor,2018,21697,29.0
BR 501,Klang-Sabak Bernam,Selangor,2018,22118,28.0
BR 604,Kuala Lumpur-Kajang-Telok Datok (Bt 14 Jln Cheras),Selangor,2018,45441,13.0
BR 701,Kuala Lumpur-Kuala Kubu Bahru Junction,Selangor,2018,13626,50.0
BR 902,Jalan Lingkaran Tengah 2 (MRR2),Selangor,2018,153914,1.0
CR 106,Jalan Kuala Lumpur-Sempadan Kota Bharu,Pahang,2018,19144,35.0
CR 403,Kuantan-Maran,Pahang,2018,34204,18.0
CR 410,Kuantan-Kemaman (Sg. Ular),Pahang,2018,30768,19.0
CR 503,Kuala Lumpur-Kuala Lipis-Kampong Padang Tuanku-Kota Bahru,Pahang,2018,8595,63.0
CR 603,Pekan-Nenasi (In front of JKR Pekan),Pahang,2018,12370,54.0
CR 801,Kuantan-Karak,Pahang,2018,17493,39.0
CR 805,Kuantan-Maran,Pahang,2018,7061,65.0
CR 902,Kuantan-Segamat,Pahang,2018,10651,57.0
DR 201,Kota Bharu-Pasir Puteh,Kelantan,2018,66933,7.0
DR 603,Lebuh raya Timur-Barat,Kelantan,2018,6389,67.0
DR 802,Kota Bharu-Kuala Krai,Kelantan,2018,22550,26.0
JR 102,Batu Pahat-Muar,Johor,2018,23698,23.0
JR 105,Muar-Yong Peng (3.8km South of Yong Peng (U) Interchange),Johor,2018,15778,45.0
JR 108,Yong Peng-Segamat (North of Route 184 junction),Johor,2018,11274,55.0
JR 204,Jalan Skudai,Johor,2018,149199,2.0
JR 218,Jalan Pelabuhan Pasir Gudang,Johor,2018,40952,15.0
JR 305,Johor Bahru-Ayer Hitam,Johor,2018,21216,30.0
JR 306,Batu Pahat-Ayer Hitam-Jemaluang,Johor,2018,45045,14.0
JR 404,Johor Bahru-Kota Tinggi,Johor,2018,16527,42.0
JR 501,Johor Bahru-Endau (2.4km North of Mersing Town),Johor,2018,15459,46.0
JR 503,Johor Bahru-Endau (Southwest of Jemaluang),Johor,2018,4378,72.0
JR 702,Pontian-Batu Pahat (near Hospital Pontian),Johor,2018,12985,53.0
JR 801,Johor Bahru-Segamat-Batu Anam,Johor,2018,16819,41.0
KR 202,Alor Star-Jitra,Kedah,2018,40387,16.0
KR 401,Alor Setar-Sungai Petani-Butterworth,Kedah,2018,21195,31.0
KR 501,Alor Setar-Sungai Petani,Kedah,2018,17695,38.0
MR 206,Jalan Melaka-Muar,Melaka,2018,16525,43.0
MR 301,Lebuh AMJ (Alor Gajah-Kendong),Melaka,2018,19098,36.0
MR 312,Jalan Melaka-Masjid Tanah-Lubok China,Melaka,2018,18593,37.0
NR 304,Seremban-Port Dickson (Lukut),Negeri Sembilan,2018,48557,11.0
NR 403,Seremban-Tampin,Negeri Sembilan,2018,13334,51.0
NR 501,Seremban-Kuala Lumpur (Old road),Negeri Sembilan,2018,11088,56.0
NR 505,Seremban-Gemas,Negeri Sembilan,2018,51260,10.0
PR 116,Butterworth-Ipoh,Pulau Pinang,2018,52205,9.0
PR 201,George Town-Telok Bahang,Pulau Pinang,2018,22365,27.0
PR 203,George Town-Bayan Lepas-Gelugor,Pulau Pinang,2018,64144,8.0
RR 106,Kangar-Alor Star,Perlis,2018,14524,49.0
TR 103,K. Terengganu-Jerteh-Kota Bharu,Terengganu,2018,20946,32.0
TR 202,Kuala Terengganu-Dungun-Kemaman (Kuala Dungun-Paka),Terengganu,2018,23023,24.0
TR 305,Cheneh-K. Terengganu  (Jln. Jabor-Jerangau),Terengganu,2018,4136,74.0
TR 402,K. Terengganu-Marang,Terengganu,2018,36656,17.0
TR 502,K. Terengganu-Ajil-Jerangau,Terengganu,2018,9847,59.0
WR 101,Kuala Lumpur-Kuala Selangor (Jalan Kepong),Kuala Lumpur,2018,98490,5.0
WR 102,Kuala Lumpur-Ipoh,Kuala Lumpur,2018,134184,3.0
HR 103,KK-Sepulut Highway,Sabah,2018,3159,76.0
HR 104,Tenom-Tomani/Bekuku H'way,Sabah,2018,5618,69.0
HR 201,Kota Kinabalu-Sindumin (Kg Mook),Sabah,2018,17465,40.0
HR 202,"A3, KK-Tambunan (8km from A/A31 Intersection)",Sabah,2018,4354,73.0
HR 204,KK-Kudat (Kg Mantanau),Sabah,2018,16405,44.0
HR 501,Tawau-Sandakan Highway (Near Balung Junction),Sabah,2018,13012,52.0
HR 504,Sg. Segama Crossing,Sabah,2018,7028,66.0
HR 506,Jalan Sing-Sing (18km from Bandar Semporna),Sabah,2018,2721,78.0
HR 507,Kunak-Lahad Datu,Sabah,2018,8629,62.0
SR 101,Bau-Semantan,Sarawak,2018,5320,70.0
SR 103,Kuching-Serian,Sarawak,2018,22587,25.0
SR 401,Bintulu-Sibu,Sarawak,2018,5258,71.0
SR 402,Bintulu-Miri,Sarawak,2018,8208,64.0
SR 403,Miri-Bintulu (before junction to Airport),Sarawak,2018,9792,60.0
SR 503,Limbang-Brunei Border (Sg.Padaruan),Sarawak,2018,14901,48.0
SR 504,Lawas-Trusan,Sarawak,2018,10623,58.0
AR 101,Ipoh-Tanjung Malim (Slim River Toll house),Perak,2019,17504,38.0
AR 204,Ipoh-Lumut,Perak,2019,25248,22.0
AR 301,Ipoh-Kampar,Perak,2019,20707,31.0
AR 303,Sitiawan-Gopeng,Perak,2019,53711,8.0
AR 501,Ipoh-Kuala Kangsar,Perak,2019,22077,27.0
AR 601,Ipoh-Butterworth,Perak,2019,20186,32.0
AR 603,Sitiawan-Taiping,Perak,2019,9677,60.0
AR 703,Ipoh-Teluk Intan-Simpang Empat,Perak,2019,18285,36.0
AR 801,Kuala Kangsar-Baling,Perak,2019,2952,78.0
AR 803,Lebuhraya Timur-Barat,Perak,2019,4164,76.0
BR 102,Klang-Port Klang (Persiaran Raja Muda Musa),Selangor,2019,63989,6.0
BR 108,Federal Highway-North Klang Straits Bypass,Selangor,2019,89634,4.0
BR 203,Klang-Morib-Batu Laut,Selangor,2019,7110,66.0
BR 405,Kuala Lumpur-Kepong-Kuala Selangor,Selangor,2019,22957,25.0
BR 501,Klang-Sabak Bernam,Selangor,2019,22373,26.0
BR 604,Kuala Lumpur-Kajang-Telok Datok (Bt 14 Jln Cheras),Selangor,2019,49444,10.0
BR 701,Kuala Lumpur-Kuala Kubu Bahru Junction,Selangor,2019,15367,48.0
BR 902,Jalan Lingkaran Tengah 2 (MRR2),Selangor,2019,108272,2.0
CR 106,Jalan Kuala Lumpur-Sempadan Kota Bharu,Pahang,2019,21090,30.0
CR 403,Kuantan-Maran,Pahang,2019,26215,21.0
CR 410,Kuantan-Kemaman (Sg. Ular),Pahang,2019,33911,18.0
CR 503,Kuala Lumpur-Kuala Lipis-Kampong Padang Tuanku-Kota Bahru,Pahang,2019,8239,62.0
CR 603,Pekan-Nenasi (In front of JKR Pekan),Pahang,2019,11748,55.0
CR 801,Kuantan-Karak,Pahang,2019,17130,40.0
CR 805,Kuantan-Maran,Pahang,2019,6889,67.0
CR 902,Kuantan-Segamat,Pahang,2019,12330,54.0
DR 201,Kota Bharu-Pasir Puteh,Kelantan,2019,34004,17.0
DR 603,Lebuh raya Timur-Barat,Kelantan,2019,6268,68.0
DR 802,Kota Bharu-Kuala Krai,Kelantan,2019,21898,28.0
JR 102,Batu Pahat-Muar,Johor,2019,24753,23.0
JR 105,Muar-Yong Peng (3.8km South of Yong Peng (U) Interchange),Johor,2019,16114,44.0
JR 108,Yong Peng-Segamat (North of Route 184 junction),Johor,2019,11702,57.0
JR 204,Jalan Skudai,Johor,2019,88738,5.0
JR 218,Jalan Pelabuhan Pasir Gudang,Johor,2019,41754,13.0
JR 305,Johor Bahru-Ayer Hitam,Johor,2019,15543,47.0
JR 306,Batu Pahat-Ayer Hitam-Jemaluang,Johor,2019,36704,15.0
JR 404,Johor Bahru-Kota Tinggi,Johor,2019,17838,37.0
JR 501,Johor Bahru-Endau (2.4km North of Mersing Town),Johor,2019,14442,51.0
JR 503,Johor Bahru-Endau (Southwest of Jemaluang),Johor,2019,4252,74.0
JR 702,Pontian-Batu Pahat (near Hospital Pontian),Johor,2019,14607,50.0
JR 801,Johor Bahru-Segamat-Batu Anam,Johor,2019,16824,42.0
KR 202,Alor Star-Jitra,Kedah,2019,31183,19.0
KR 401,Alor Setar-Sungai Petani-Butterworth,Kedah,2019,19585,33.0
KR 501,Alor Setar-Sungai Petani,Kedah,2019,17083,41.0
MR 206,Jalan Melaka-Muar,Melaka,2019,14823,49.0
MR 301,Lebuh AMJ (Alor Gajah-Kendong),Melaka,2019,17151,39.0
MR 312,Jalan Melaka-Masjid Tanah-Lubok China,Melaka,2019,18558,35.0
NR 304,Seremban-Port Dickson (Lukut),Negeri Sembilan,2019,36878,14.0
NR 403,Seremban-Tampin,Negeri Sembilan,2019,13449,52.0
NR 501,Seremban-Kuala Lumpur (Old road),Negeri Sembilan,2019,11339,59.0
